,Title_Review,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Pros,Cons,Employee_seniority,Location,Date,id
0,"['good', 'impression', 'first', 'month']",5.0,['amazon'],['positive'],['neutral'],['neutral'],"['documentation', 'amazon', 'super', 'important', 'point', 'project', 'meeting', 'lot', 'material', 'learn', 'past', 'mistake', 'understand', 'thing', 'really', 'work', 'around']","['need', 'understand', 'job', 'need', 'improve', 'good', 'depend', 'manager', ""'s"", 'common', 'manager', 'detail', 'everything', 'someone', 'need', 'improve', 'way', 'need', 'really', 'self', 'critic', 'person', 'everyone', 'like']","['current', 'employee', 'less', '1', 'year']",['toronto'],"['feb.', '2', '2023']",empReview_73247758
1,['intern'],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['4', 'day', 'shifts', 'nice']","['long', 'hour', 'shift', 'make', 'feel', 'tire']","['former', 'employee', 'less', '1', 'year']",['toronto'],"['jan.', '31', '2023']",empReview_73187609
2,['good'],5.0,['amazon'],['positive'],['positive'],['positive'],"['great', 'work', 'balance', 'great', 'environment', 'location', 'far']","['workload', 'heavy', 'sometimes']","['former', 'employee', '1', 'year']","['amazon', 'sk']","['jan.', '31', '2023']",empReview_73188818
3,"['job', 'review']",5.0,['amazon'],['positive'],['positive'],['positive'],"['good', 'benefit', 'flexible', 'time', 'shift', 'take', 'care', 'employee']","['good', 'organization', 'work', 'well', 'car', 'parking', 'arrangement']","['former', 'employee']",['nan'],"['jan.', '31', '2023']",empReview_73190433
4,"['growth', 'opportunity']",4.0,['amazon'],['positive'],['negative'],['negative'],"['fast', 'paced', 'start-up', 'culture', 'benefit']","['compensation', 'growth', 'prospect', 'development', 'opportunity']","['current', 'employee', '3', 'year']","['vancouver', 'bc']","['jan.', '31', '2023']",empReview_73197210
5,"['tech', 'recruiter']",4.0,['amazon'],['neutral'],['neutral'],['neutral'],"['opportunity', 'grow', 'work', 'talented', 'people']","['potential', 'layoff', 'fast', 'pace']","['current', 'employee']",['nan'],"['feb.', '1', '2023']",empReview_73208298
6,"['great', 'company']",5.0,['amazon'],['positive'],['positive'],['positive'],"['lot', 'challenge', 'speak', 'data', 'great', 'leadership']","['none', 'best', 'company', 'ever', 'glad', 'worked']","['former', 'employee', '8', 'year']","['calgary', 'ab']","['jan.', '30', '2023']",empReview_73149307
7,"['bad', 'wlb']",4.0,['amazon'],['positive'],['negative'],['negative'],"['good', 'pay', 'benefit', 'new', 'grad']","['lot', 'work', 'high', 'stress']","['current', 'employee', 'less', '1', 'year']","['vancouver', 'bc']","['jan.', '30', '2023']",empReview_73146117
8,"['okay', 'stressfull']",4.0,['amazon'],['negative'],['negative'],['negative'],"['pay', 'rate', 'good', 'accord', 'work']","['much', 'stress', 'give', 'employee']","['former', 'employee', '1', 'year']","['surrey', 'bc']","['jan.', '29', '2023']",empReview_73105526
9,"['great', 'benefit']",4.0,['amazon'],['negative'],['positive'],['negative'],"['great', 'benefit', 'bonus', 'everything', 'available', '24/7']","['work', 'culture', 'negative', 'depend', 'location', 'little', 'diversity']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '29', '2023']",empReview_73108472
10,"['sde', 'avs-cpp-sdk', 'team']",5.0,['amazon'],['positive'],['neutral'],['neutral'],"['teach', 'fast', 'focus', 'lot', 'time', 'well']","['reduce', 'number', 'meeting']","['former', 'employee']",['nan'],"['jan.', '29', '2023']",empReview_73095127
11,"['good', 'company']",4.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'pay', 'challenge', 'interesting', 'work']","['toxic', 'team', 'member', 'low', 'growth']","['current', 'employee']","['vancouver', 'bc']","['jan.', '28', '2023']",empReview_73094099
