id,current_employee,Pros_Dominant_Topic,Pros_Topic_Perc_Contrib,Pros_Keywords,Cons_Dominant_Topic,Cons_Topic_Perc_Contrib,Cons_Keywords
empReview_73247758,current employee,1,0.8816,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.6531,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73187609,former employee,0,0.925,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6398,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73188818,former employee,0,0.8313,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8691,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73190433,former employee,0,0.6971,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.4363,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73197210,current employee,0,0.9292,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.8771,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73208298,current employee,1,0.7689,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.5003,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73149307,former employee,1,0.8495,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.4012,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73146117,current employee,0,0.7682,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73105526,former employee,0,0.9354,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73108472,current employee,0,0.7679,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5332,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73095127,former employee,1,0.6752,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.7749,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73094099,current employee,0,0.5922,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.8793,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73095940,current employee,0,0.5025,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.9099,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73101250,current employee,1,0.8171,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.6255,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73059484,current employee,0,0.5772,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.8963,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73066081,former employee,0,0.7898,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6096,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73067330,current employee,0,0.6929,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6341,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73071324,current employee,1,0.542,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.7456,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73077545,former employee,1,0.6204,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.7378,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73082914,current employee,0,0.7455,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6604,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73001727,current employee,0,0.8454,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5495,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73016558,current employee,1,0.7859,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.5502,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72969587,former employee,0,0.9381,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5281,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72978191,current employee,0,0.7685,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9128,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72922433,current employee,0,0.5903,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5337,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_72906619,current employee,0,0.6582,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.7573,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72912648,former employee,1,0.5364,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.6939,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72920771,former employee,0,0.5505,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.438,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72939150,current employee,0,0.7631,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.71,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72879204,current employee,1,0.8423,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.5514,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72644026,former employee,1,0.7897,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7674,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72624962,former employee,0,0.9454,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6822,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72631932,current employee,0,0.9384,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9126,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73089781,current employee,0,0.5466,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4353,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72615338,former employee,0,0.7708,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8692,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72595190,current employee,1,0.8834,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7412,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73050228,former employee,0,0.9288,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9098,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73053494,former employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9232,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72536361,current employee,0,0.7267,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4895,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72558176,current employee,0,0.9333,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8017,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72986345,former employee,0,0.906,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5028,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73003431,former employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5898,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72498977,former employee,0,0.8769,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5769,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72503433,former employee,1,0.8694,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.5274,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_72457754,current employee,0,0.8951,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.7177,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72464791,former employee,0,0.7167,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4958,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72466084,current employee,1,0.8796,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.8255,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72470738,current employee,0,0.693,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5834,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_72459227,current employee,0,0.9076,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6941,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72464788,former employee,1,0.8423,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.7462,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72295158,current employee,0,0.5045,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5839,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72281555,former employee,0,0.5079,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7836,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72253117,current employee,1,0.8783,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7947,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72260841,current employee,0,0.9377,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7087,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72273175,former employee,0,0.9505,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8255,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72682678,former employee,0,0.5552,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.8627,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_72241018,former employee,1,0.7465,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.7404,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_72687369,current employee,0,0.8628,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6838,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72236919,former employee,0,0.5733,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.3617,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72652208,current employee,0,0.6527,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5457,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_71741075,current employee,0,0.7916,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.7464,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_72081713,former employee,0,0.5328,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6604,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_71694271,former employee,0,0.5787,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72596591,former employee,1,0.7428,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.6102,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_71704127,current employee,0,0.9381,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9128,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_72046063,former employee,0,0.9565,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4461,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
